                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6506,                 3.0427,                 2.3245,                 1.7247,                0.52719,                0.18028,                0.14205,                0.06273,                0.51327,                0.17423,                0.12583,                0.05243,                   1.95,                 3.5571,                  2.594,                 2.0951,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.6631,                 3.0453,                 2.2692,                 1.7379,                0.20033,                0.20289,                0.14203,                0.07719,                0.21654,                0.20078,                 0.1319,                0.05681,                 1.9092,                 3.4902,                  2.521,                 2.0464,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.6685,                 3.0666,                 2.2331,                 1.7437,                0.20292,                0.20213,                0.13403,                  0.064,                0.20972,                0.19424,                0.12425,                0.05157,                 1.9111,                 3.4109,                 2.4759,                 2.0809,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.6514,                 3.0193,                 2.2476,                  1.747,                0.19292,                0.18581,                0.13929,                0.06797,                0.16956,                0.17421,                0.12341,                0.05463,                 1.9205,                 3.4894,                 2.5417,                 2.1016,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.6058,                 2.9586,                 2.1862,                 1.6846,                 0.5303,                 0.1734,                0.11233,                0.05592,                0.51394,                0.17487,                0.10633,                0.04437,                  1.892,                 3.4338,                 2.5953,                 2.0492,              0.0010612,              0.0010612,              0.0010612
                     29,                  1.601,                 2.9265,                 2.1693,                 1.6983,                0.54682,                0.19644,                0.16147,                0.08347,                0.54684,                0.19223,                0.15605,                0.07012,                 1.8703,                 3.2436,                 2.3372,                 2.0416,               0.001047,               0.001047,               0.001047
                     30,                 1.5843,                 2.8955,                 2.1261,                 1.6663,                0.56285,                0.21808,                 0.1674,                0.07986,                0.56223,                0.20763,                 0.1569,                0.06726,                 1.8769,                 3.3319,                 2.3117,                 2.0279,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.5632,                 2.8753,                 2.0881,                 1.6619,                0.55312,                0.16562,                0.14017,                0.07434,                0.54523,                0.15849,                0.13146,                0.05773,                 1.7798,                 3.3317,                 2.4158,                 1.9646,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.5469,                 2.8562,                  2.036,                 1.6542,                0.53526,                0.21699,                0.17218,                0.08756,                0.56663,                0.19012,                0.16459,                0.07275,                 1.8091,                 3.2851,                 2.3482,                  2.006,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.5318,                 2.8279,                 2.0378,                 1.6337,                0.57408,                 0.1884,                0.17482,                0.09556,                0.56966,                0.18428,                0.16616,                0.07645,                 1.7678,                 3.2294,                 2.2613,                 1.9706,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.5401,                 2.7604,                 1.9754,                 1.6564,                 0.2347,                0.22096,                 0.1903,                0.10201,                0.21656,                0.20224,                0.16908,                0.08102,                 1.7595,                 3.2194,                 2.1862,                 1.9708,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.5067,                 2.7031,                 1.9832,                 1.6244,                0.27132,                0.22277,                0.19812,                 0.1012,                0.27181,                0.22521,                0.19014,                0.08305,                 1.7632,                 3.0608,                 2.1832,                 1.9313,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.4685,                 2.7089,                 1.9683,                 1.6018,                0.62441,                0.20884,                0.19836,                0.10601,                0.60704,                0.20619,                0.18783,                0.08941,                 1.8175,                 3.2338,                  2.256,                 2.0404,               0.000948,               0.000948,               0.000948
                     37,                 1.4815,                 2.6487,                 1.8948,                 1.6076,                0.54713,                0.23846,                0.20059,                0.11351,                0.54354,                0.23298,                0.19427,                 0.0952,                 1.7716,                 3.1459,                  2.324,                 1.9584,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.4627,                  2.745,                 1.9231,                 1.5874,                0.58703,                0.25329,                0.20537,                0.11334,                0.58337,                0.22684,                0.20054,                0.09769,                 1.6999,                 3.0774,                 2.1574,                 1.8914,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3775,                  2.565,                 1.8001,                 1.5415,                0.27407,                0.24457,                0.21682,                0.12523,                0.25874,                0.22997,                0.20078,                0.10206,                 1.6967,                 3.1713,                 2.1314,                 1.9229,             0.00090556,             0.00090556,             0.00090556
