                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58221,                0.76144,                 1.1058,                0.61423,                0.68845,                0.67782,                 0.5738,                0.59024,                 1.1276,                  1.045,              0.0011224,              0.0011224,              0.0011224
                     36,                0.58807,                0.75938,                 1.1062,                0.68071,                0.73203,                0.74552,                0.63991,                0.54965,                0.94332,                 1.0192,              0.0011059,              0.0011059,              0.0011059
                     37,                0.57728,                0.74089,                 1.0985,                0.62389,                0.72101,                0.69565,                0.59714,                0.56021,                 1.1329,                 1.0189,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.5732,                0.74823,                 1.0951,                0.65136,                 0.6733,                   0.64,                0.54489,                0.58159,                 1.2195,                   1.04,              0.0010729,              0.0010729,              0.0010729
                     39,                0.57631,                0.72055,                 1.0937,                0.67722,                0.72512,                0.74263,                0.64002,                0.52501,                 1.0012,                0.98537,              0.0010564,              0.0010564,              0.0010564
                     40,                0.57415,                 0.7076,                 1.0897,                0.73197,                0.74409,                0.79033,                 0.6801,                0.54643,                0.82647,                 1.0034,              0.0010399,              0.0010399,              0.0010399
                     41,                0.57016,                0.71936,                 1.0946,                0.73945,                0.72193,                0.78972,                 0.6765,                0.54076,                0.82499,                0.99982,              0.0010234,              0.0010234,              0.0010234
                     42,                0.55301,                0.70168,                 1.0818,                0.68296,                0.70855,                0.74467,                0.63864,                0.55291,                 1.0392,                 1.0178,              0.0010069,              0.0010069,              0.0010069
                     43,                0.55597,                0.69122,                  1.082,                0.72333,                0.68986,                 0.7408,                0.62511,                0.57022,                 1.0534,                 1.0473,             0.00099036,             0.00099036,             0.00099036
                     44,                0.55686,                0.69186,                 1.0836,                0.73418,                0.71839,                0.77763,                0.66298,                0.54581,                0.84288,                 1.0114,             0.00097386,             0.00097386,             0.00097386
                     45,                0.53921,                0.67152,                 1.0742,                 0.6914,                0.76253,                0.77462,                 0.6692,                0.54207,                 0.8561,                  1.025,             0.00095736,             0.00095736,             0.00095736
                     46,                0.53865,                0.64831,                 1.0787,                0.77251,                0.70311,                0.76698,                0.65669,                0.55377,                0.85897,                 1.0464,             0.00094085,             0.00094085,             0.00094085
                     47,                0.54148,                0.64629,                 1.0771,                0.75872,                0.73473,                0.78706,                0.67288,                 0.5657,                0.81877,                 1.0434,             0.00092435,             0.00092435,             0.00092435
                     48,                0.53282,                0.65574,                 1.0726,                0.71008,                0.75932,                0.77104,                0.66499,                0.54572,                0.93093,                 1.0183,             0.00090785,             0.00090785,             0.00090785
                     49,                 0.5409,                0.64937,                 1.0675,                0.66294,                0.76298,                0.74323,                0.63883,                0.55385,                0.98935,                  1.041,             0.00089134,             0.00089134,             0.00089134
                     50,                0.51651,                0.61954,                 1.0486,                0.74857,                0.75938,                0.80599,                0.69898,                0.54758,                0.80598,                 1.0224,             0.00087484,             0.00087484,             0.00087484
                     51,                0.52091,                0.61604,                 1.0641,                0.69908,                0.73539,                0.76452,                0.66366,                0.55272,                0.88067,                 1.0313,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.5186,                0.61795,                 1.0562,                0.72808,                0.72829,                0.76927,                0.66539,                0.53302,                0.87099,                 1.0034,             0.00084184,             0.00084184,             0.00084184
                     53,                0.51341,                0.60066,                 1.0576,                0.72019,                0.72841,                0.75432,                0.65503,                0.53912,                 1.0006,                 1.0086,             0.00082533,             0.00082533,             0.00082533
                     54,                 0.5097,                0.59794,                 1.0554,                 0.7494,                0.72199,                0.77838,                0.67578,                 0.5381,                0.85806,                 1.0316,             0.00080883,             0.00080883,             0.00080883
                     55,                0.49776,                0.57284,                 1.0482,                0.77817,                0.75507,                0.80466,                0.70099,                0.50818,                0.77409,                 1.0061,             0.00079233,             0.00079233,             0.00079233
                     56,                0.50791,                0.57874,                 1.0504,                0.70274,                 0.7785,                0.78997,                 0.6927,                0.51074,                0.83409,                0.98073,             0.00077582,             0.00077582,             0.00077582
                     57,                0.49783,                0.57031,                 1.0446,                0.70069,                0.72513,                0.72935,                 0.6377,                0.52155,                0.99122,                 1.0128,             0.00075932,             0.00075932,             0.00075932
                     58,                0.49618,                0.56039,                 1.0445,                0.74008,                  0.774,                0.78828,                 0.6786,                0.53235,                0.82827,                 1.0191,             0.00074282,             0.00074282,             0.00074282
                     59,                0.48758,                0.54035,                 1.0335,                0.77674,                0.79361,                0.83235,                0.72963,                  0.512,                0.73462,                0.98724,             0.00072631,             0.00072631,             0.00072631
